Species;Relative.Adult.Mobility;Estimated.Max.Body.Size;Habitat.Complexity;Chemosynthesis.Obligate;Zonation.From.Vent;Feeding.Mode;CIR;ESR;Galapagos;GoC;JdF;Kermadec;Lau;Manus;Mariana;MohnsRidge;NEPR;N.MAR;NFiji;Okinawa;SEPR;S.MAR;SWIR
Chrysomallon squamiferum;3;100;Mat forming;Vent;High;Symbiotic;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Clathrina pellucida;1;10;Does not add;No;Medium;Detritivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Clypeosectus curvus;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Clypeosectus delectus;3;10;Does not add;Vent;Low;Bacterivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Conchocele bisecta;2;1000;Burrow forming;Other CBE;Low;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Cornisepta verenae;2;1;Does not add;Vent;Low;Detritivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Ctenopelta porifera;3;10;Does not add;Vent;High;Symbiotic;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Cyanagraea praedator;4;100;Does not add;Vent;High;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Cyananthea hourdezi;1;100;Does not add;No;Low;Carnivore;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Cyananthea hydrothermala;2;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Cyathermia naticoides;3;10;Does not add;Vent;High;Bacterivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Dahlella caldariensis;4;10;Does not add;Vent;Medium;Detritivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Dendronotus comteti;3;100;Does not add;No;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Depressigyra globulus;3;10;Does not add;Vent;High;Detritivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Desbruyeresia cancellata;3;10;Does not add;Vent;Low;Detritivore;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Desbruyeresia marianaensis;3;10;Does not add;Vent;Low;Detritivore;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Desbruyeresia marisindica;3;100;Does not add;Vent;Low;Detritivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Desbruyeresia melanioides;3;10;Does not add;Vent;Low;Detritivore;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Desbruyeresia spinosa;3;10;Does not add;Vent;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Divia briandi;3;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Echinopelta fistulosa;3;100;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Enigmaticolus desbruyeresi;3;1000;Does not add;No;Medium;Carnivore;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
Eochionelasmus ohtai cf. Manusensis;1;100;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Eochionelasmus paquensis;1;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Eochionelasmus sp.;1;10;Mat forming;Vent;Medium;Detritivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eosipho sp.;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
Eulepetopsis vitrea;3;100;Does not add;Vent;Medium;Bacterivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Eunice masudai;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
Eunice northioidea;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
Eunice pulvinopalpata;3;100;Does not add;Vent;High;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Exallopus jumarsi;3;1;Does not add;Vent;Medium;Bacterivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Exitomelita sigynae;3;100;Does not add;Vent;High;Symbiotic;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Fucaria striata;3;10;Does not add;Vent;Low;Detritivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Gaidropsarus mauli;3;1000;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Galapagomystides aristata;3;10;Does not add;Vent;Medium;Carnivore;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galapagomystides verenae;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Gandalfus puia;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0
Gandalfus yunohana;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
Gigantidas gladius;1;1000;Bed forming;Vent;Medium;Symbiotic;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Gigantidas horikoshii;1;1000;Bed forming;Vent;Medium;Symbiotic;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Gigantidas platifrons;2;1000;Bed forming;Other CBE;Medium;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Gigantidas tangaroa;1;1000;Bed forming;Other CBE;Medium;Symbiotic;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Gigantopelta aegis;3;100;Mat forming;Vent;Medium;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Gigantopelta chessoia;3;100;Mat forming;Vent;Medium;Symbiotic;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gitanopsis alvina;4;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Glycera profundi;3;10;Burrow forming;No;Medium;Carnivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Glycera tesselata;3;10;Does not add;No;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Gorgoleptis emarginatus;3;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Gorgoleptis patulus;3;10;Does not add;Vent;Medium;Bacterivore;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gorgoleptis spiralis;3;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Gorgonocephalus eucnemis;2;100;Open bush forming;No;Low;Carnivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Grantia cf. mirabilis;1;1;Does not add;No;Medium;Detritivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Grantia sp. nov.;1;1;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Gymnobela sp. 1 CIR;3;100;Does not add;Vent;Medium;Carnivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Halice hesmonectes;4;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Harmothoe fragilis;4;10;Does not add;No;Low;Carnivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Harmothoe globosa;4;10;Does not add;No;Low;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Harmothoe macnabi;4;100;Does not add;No;Low;Carnivore;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Harpinia pico;3;10;Does not add;Vent;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Harpiniopsis fulgens;3;10;Does not add;No;Medium;Detritivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Helicoradomenia acredema;2;10;Does not add;Vent;Medium;Bacterivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Helicoradomenia bisquama;3;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Helicoradomenia juani;3;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Helicrenion reticulatum;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Heliometra glacialis;2;100;Open bush forming;No;Low;Detritivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Hesiodeira glabra;4;10;Does not add;Vent;Low;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Hesiolyra cf. bergi;3;100;Does not add;Vent;Medium;Bacterivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
Hesiospina vestimentifera;4;100;Does not add;Vent;High;Carnivore;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0
Hirondellea glutonis;4;100;Does not add;Vent;Medium;Carnivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Hirtopelta hirta;3;10;Does not add;Vent;Medium;Symbiotic;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Hirtopelta tufari;3;10;Does not add;Vent;Medium;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Hyalogyra vitrinelloides;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Hyalogyrina globularis;3;1;Does not add;Vent;Medium;Detritivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Hyalogyrina grasslei;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Hypoechinorhynchus thermaceri;2;1;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Idas washingtonius;1;10;Bed forming;Other CBE;Medium;Symbiotic;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Ifremeria nautilei;3;100;Bed forming;Other CBE;High;Symbiotic;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0
Iheyaspira lequios;2;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
